file,time_bin,percent_time_swimming,condition
C7_t2_2025_11_11-01_33_23.h5,149.5,58.00000000000125,control
C7_t2_2025_11_11-01_33_23.h5,150.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,151.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,152.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,153.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,154.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,155.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,156.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,157.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,158.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,159.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,160.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,161.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,162.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,163.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,164.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,165.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,166.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,167.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,168.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,169.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,170.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,171.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,172.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,173.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,174.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,175.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,176.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,177.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,178.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,179.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,180.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,181.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,182.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,183.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,184.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,185.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,186.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,187.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,188.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,189.5,0.0,control
C8_t1_2025_11_11-01_34_53.h5,0.5,0.0,control
C8_t1_2025_11_11-01_34_53.h5,1.5,5.000000000000004,control
C8_t1_2025_11_11-01_34_53.h5,2.5,17.99999999999997,control
C8_t1_2025_11_11-01_34_53.h5,3.5,8.000000000000007,control
C8_t1_2025_11_11-01_34_53.h5,4.5,60.99999999999994,control
C8_t1_2025_11_11-01_34_53.h5,5.5,41.000000000000014,control
C8_t1_2025_11_11-01_34_53.h5,6.5,21.000000000000085,control
C8_t1_2025_11_11-01_34_53.h5,7.5,0.9999999999999788,control
C8_t1_2025_11_11-01_34_53.h5,8.5,11.999999999999922,control
C8_t1_2025_11_11-01_34_53.h5,9.5,18.99999999999995,control
C8_t1_2025_11_11-01_34_53.h5,10.5,23.000000000000043,control
C8_t1_2025_11_11-01_34_53.h5,11.5,23.999999999999844,control
C8_t1_2025_11_11-01_34_53.h5,12.5,8.000000000000007,control
C8_t1_2025_11_11-01_34_53.h5,13.5,34.99999999999961,control
C8_t1_2025_11_11-01_34_53.h5,14.5,100.0,control
C8_t1_2025_11_11-01_34_53.h5,15.5,100.0,control
C8_t1_2025_11_11-01_34_53.h5,16.5,8.000000000000185,control
C8_t1_2025_11_11-01_34_53.h5,17.5,26.9999999999996,control
C8_t1_2025_11_11-01_34_53.h5,18.5,48.00000000000004,control
C8_t1_2025_11_11-01_34_53.h5,19.5,57.99999999999983,control
C8_t1_2025_11_11-01_34_53.h5,20.5,25.0,control
C8_t1_2025_11_11-01_34_53.h5,21.5,58.000000000000185,control
C8_t1_2025_11_11-01_34_53.h5,22.5,16.000000000000014,control
