Time (s),Area Above Baseline (mV·s),Group,Trial_ID
44,-14.31432404,Opsin,140524_F1_C1_t1
44.2,-14.2814325,Opsin,140524_F1_C1_t1
44.4,-14.29761139,Opsin,140524_F1_C1_t1
44.6,-13.90334076,Opsin,140524_F1_C1_t1
44.8,-13.52900818,Opsin,140524_F1_C1_t1
45,-13.98726776,Opsin,140524_F1_C1_t1
45.2,-14.28088104,Opsin,140524_F1_C1_t1
45.4,-14.30748535,Opsin,140524_F1_C1_t1
45.6,-14.31856201,Opsin,140524_F1_C1_t1
45.8,-14.21588593,Opsin,140524_F1_C1_t1
46,-14.26280212,Opsin,140524_F1_C1_t1
46.2,-14.26470398,Opsin,140524_F1_C1_t1
46.4,-14.15630554,Opsin,140524_F1_C1_t1
46.6,-13.4481134,Opsin,140524_F1_C1_t1
46.8,-13.57775391,Opsin,140524_F1_C1_t1
47,-14.12422089,Opsin,140524_F1_C1_t1
47.2,-14.26643097,Opsin,140524_F1_C1_t1
47.4,-14.28673676,Opsin,140524_F1_C1_t1
47.6,-14.26309082,Opsin,140524_F1_C1_t1
47.8,-14.08236511,Opsin,140524_F1_C1_t1
48,-13.40362305,Opsin,140524_F1_C1_t1
48.2,-13.7477066,Opsin,140524_F1_C1_t1
48.4,-14.24868195,Opsin,140524_F1_C1_t1
48.6,-14.29470245,Opsin,140524_F1_C1_t1
48.8,-14.32572418,Opsin,140524_F1_C1_t1
49,-14.3343454,Opsin,140524_F1_C1_t1
49.2,-14.17415131,Opsin,140524_F1_C1_t1
49.4,-14.20280273,Opsin,140524_F1_C1_t1
49.6,-13.93041809,Opsin,140524_F1_C1_t1
49.8,-13.17809601,Opsin,140524_F1_C1_t1
50,-13.69798096,Opsin,140524_F1_C1_t1
50.2,-14.22935089,Opsin,140524_F1_C1_t1
50.4,-14.23043854,Opsin,140524_F1_C1_t1
50.6,-14.29517792,Opsin,140524_F1_C1_t1
50.8,-14.27150513,Opsin,140524_F1_C1_t1
51,-13.41045807,Opsin,140524_F1_C1_t1
51.2,-13.38987854,Opsin,140524_F1_C1_t1
51.4,-14.03338867,Opsin,140524_F1_C1_t1
51.6,-14.25159546,Opsin,140524_F1_C1_t1
