K value,Median Stability Score,Fish_ID
8,0.7242366536927831,F14
9,0.9334946683665444,F14
10,0.8305244257815384,F14
11,0.7142262150623686,F14
12,0.6965829680696254,F14
13,0.6458381662562334,F14
14,0.6249422354546357,F14
15,0.5984655127781127,F14
16,0.581263887938259,F14
17,0.6077022852215954,F14
18,0.651134915576868,F14
19,0.6725220060506991,F14
